epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,269.026,1.70772,1.72023,1.97566,0.2119,0.30556,0.18106,0.06464,2.43476,2.5133,2.51881,0.0007294,0.0007294,0.0007294
43,274.169,1.63292,1.6722,1.98128,0.30567,0.25,0.19073,0.06849,2.44774,2.65752,2.61832,0.0007228,0.0007228,0.0007228
44,279.254,1.72192,1.72555,1.97009,0.26362,0.25,0.15008,0.04864,2.32826,2.8618,2.60403,0.0007162,0.0007162,0.0007162
45,284.068,1.61513,1.65379,1.8908,0.26826,0.19444,0.1359,0.0506,2.33149,2.67102,2.60732,0.0007096,0.0007096,0.0007096
46,289.858,1.62981,1.73946,1.95012,0.24491,0.38889,0.18579,0.06852,2.30363,2.45538,2.607,0.000703,0.000703,0.000703
47,297.671,1.64939,1.61805,1.93509,0.28758,0.36111,0.24055,0.08988,2.38371,2.37016,2.58152,0.0006964,0.0006964,0.0006964
48,302.442,1.55195,1.56553,1.87584,0.27764,0.55519,0.25358,0.08397,2.33373,2.32908,2.57754,0.0006898,0.0006898,0.0006898
49,307.607,1.62759,1.5842,1.86063,0.22303,0.44444,0.2082,0.0675,2.35915,2.40403,2.56379,0.0006832,0.0006832,0.0006832
50,312.402,1.56527,1.65,1.84939,0.34665,0.25,0.20735,0.08245,2.35346,2.4175,2.51968,0.0006766,0.0006766,0.0006766
51,317.517,1.66769,1.68041,1.93882,0.4998,0.36111,0.3266,0.11642,2.36062,2.01288,2.46569,0.00067,0.00067,0.00067
52,323.451,1.64835,1.50087,1.86068,0.31422,0.55556,0.26806,0.09785,2.3053,2.11109,2.42265,0.0006634,0.0006634,0.0006634
53,327.994,1.5103,1.50374,1.77056,0.34287,0.36111,0.25853,0.09098,2.17771,2.40888,2.28448,0.0006568,0.0006568,0.0006568
54,336.356,1.51078,1.40319,1.81157,0.32584,0.38889,0.23457,0.10142,2.22154,2.4404,2.30962,0.0006502,0.0006502,0.0006502
55,341.084,1.50833,1.42693,1.80207,0.33822,0.25,0.19785,0.08491,2.30396,2.46024,2.3968,0.0006436,0.0006436,0.0006436
56,346.376,1.54237,1.44007,1.78508,0.23061,0.25,0.21556,0.07707,2.49638,2.54722,2.57497,0.000637,0.000637,0.000637
57,351.199,1.56931,1.49398,1.84945,0.26257,0.44444,0.25922,0.08968,2.44974,2.55827,2.59335,0.0006304,0.0006304,0.0006304
58,355.784,1.46195,1.43732,1.77008,0.40098,0.38889,0.28823,0.10376,2.29184,2.49837,2.475,0.0006238,0.0006238,0.0006238
59,361.112,1.48753,1.39268,1.75425,0.43761,0.41082,0.30177,0.09939,2.46177,2.54584,2.63214,0.0006172,0.0006172,0.0006172
60,365.883,1.4621,1.4504,1.73044,0.5162,0.33333,0.36405,0.11618,2.39438,2.55797,2.57879,0.0006106,0.0006106,0.0006106
61,370.852,1.52121,1.41322,1.79186,0.32854,0.41667,0.32567,0.12452,2.31138,2.51124,2.46955,0.000604,0.000604,0.000604
62,376.273,1.54634,1.3679,1.78953,0.47717,0.41667,0.40404,0.15906,2.17911,2.35308,2.35018,0.0005974,0.0005974,0.0005974
63,381.734,1.51234,1.40185,1.78251,0.43782,0.44444,0.3679,0.15043,2.15983,2.27467,2.3051,0.0005908,0.0005908,0.0005908
64,386.406,1.35616,1.32678,1.6453,0.38829,0.33506,0.32115,0.13708,2.13482,2.36121,2.26067,0.0005842,0.0005842,0.0005842
65,394.564,1.41093,1.37719,1.69328,0.30057,0.38889,0.23939,0.10681,2.20492,2.36056,2.27441,0.0005776,0.0005776,0.0005776
66,399.135,1.47892,1.37965,1.74974,0.22771,0.44444,0.22366,0.09862,2.17671,2.56665,2.28781,0.000571,0.000571,0.000571
